Timestamp,Approach 1 Time,Approach 2 Time,Job Label
2024-08-07 03:29:39,12.589782953262327,9.735693454742432,1M pair size - 12 cores
2024-08-07 03:30:30,12.754153728485107,10.128556489944458,1M pair size - 12 cores
2024-08-07 03:31:10,12.343758344650269,11.000789880752563,1M pair size - 12 cores
2024-08-07 03:31:54,13.543219327926636,9.844100713729858,1M pair size - 12 cores
2024-08-07 03:34:34,15.23379397392273,10.564610719680786,1M pair size - 12 cores
2024-08-07 03:35:55,13.53984308242798,10.15566897392273,1M pair size - 12 cores
2024-08-07 03:37:22,12.991307258605955,10.614646196365356,1M pair size - 12 cores
2024-08-07 03:38:08,12.715846300125122,9.26109766960144,1M pair size - 12 cores
2024-08-07 03:38:47,12.573979139328005,9.870867252349854,1M pair size - 12 cores
2024-08-07 03:39:25,12.107280015945436,9.23031997680664,1M pair size - 12 cores
2024-08-07 03:49:05,16.316452026367188,14.732994079589844,1M pair size - 1 core
2024-08-07 03:50:08,5.087661743164063,5.070227384567261,Small pair size - 1 core
2024-08-07 03:50:35,4.798045635223389,4.432332277297974,Small pair size - 1 core
2024-08-07 03:50:39,17.22956395149231,13.95514702796936,1M pair size - 1 core
2024-08-07 03:51:05,4.996974468231201,4.5421671867370605,Small pair size - 1 core
2024-08-07 03:51:29,4.954924583435059,5.1142895221710205,Small pair size - 1 core
2024-08-07 03:51:36,17.045562744140625,15.529095649719238,1M pair size - 1 core
2024-08-07 03:51:48,4.6114420890808105,4.274365186691284,Small pair size - 1 core
2024-08-07 03:52:17,4.508948087692261,4.151867151260376,Small pair size - 1 core
2024-08-07 03:52:39,5.061712265014648,4.615571737289429,Small pair size - 1 core
2024-08-07 03:53:00,4.759823083877564,5.033120393753052,Small pair size - 1 core
2024-08-07 03:53:11,17.640171766281128,15.22363018989563,1M pair size - 1 core
2024-08-07 03:53:16,4.834410905838013,4.268947124481201,Small pair size - 1 core
2024-08-07 03:54:00,16.354060649871826,13.3802649974823,1M pair size - 1 core
2024-08-07 03:54:22,5.2844202518463135,5.07298755645752,Small pair size - 1 core
2024-08-07 03:54:52,17.17633318901062,13.743507146835327,1M pair size - 1 core
2024-08-07 03:55:56,17.429172039031982,14.715285301208496,1M pair size - 1 core
2024-08-07 03:56:49,17.84985589981079,16.7096905708313,1M pair size - 1 core
2024-08-07 03:57:18,52.160706520080566,49.529863357543945,Small pair size - 12 cores
2024-08-07 03:58:09,17.722309827804565,14.379482746124268,1M pair size - 1 core
2024-08-07 03:59:13,49.94638466835022,48.01971960067749,Small pair size - 12 cores
2024-08-07 03:59:39,16.76222324371338,13.506728887557983,1M pair size - 1 core
2024-08-07 04:01:38,50.111844062805176,48.18284606933594,Small pair size - 12 cores
2024-08-07 04:03:28,47.87973165512085,47.69608521461487,Small pair size - 12 cores
2024-08-07 04:05:21,48.103376388549805,49.80955743789673,Small pair size - 12 cores
2024-08-07 04:07:39,48.05274224281311,49.18436074256897,Small pair size - 12 cores
2024-08-07 04:10:24,48.316100120544434,46.869549036026,Small pair size - 12 cores
2024-08-07 04:12:13,49.45746326446533,49.64623188972473,Small pair size - 12 cores
2024-08-07 04:15:49,49.985329389572144,49.1685688495636,Small pair size - 12 cores
2024-08-07 04:21:49,47.278804063797,47.95694589614868,Small pair size - 12 cores
